Date,Open,High,Low,Close,Volume,Market Cap
21/11/2020,18621.32,18936.62,18444.36,18642.23,39650210707,3.46E+11
22/11/2020,18642.23,18688.97,17671.38,18370,41280434226,3.41E+11
23/11/2020,18370.02,18711.43,18000.8,18364.12,42741112308,3.41E+11
24/11/2020,18365.01,19348.27,18128.66,19107.46,51469565009,3.55E+11
25/11/2020,19104.41,19390.97,18581.15,18732.12,43710357371,3.48E+11
26/11/2020,18729.84,18866.29,16351.03,17150.62,61396835737,3.18E+11
27/11/2020,17153.91,17445.02,16526.42,17108.4,38886494645,3.17E+11
28/11/2020,17112.93,17853.94,16910.65,17717.42,32601040734,3.29E+11
29/11/2020,17719.63,18283.63,17559.12,18177.48,31133957704,3.37E+11
30/11/2020,18178.32,19749.26,18178.32,19625.84,47728480399,3.64E+11
01/12/2020,19633.77,19845.98,18321.92,18803,49633658712,3.49E+11
02/12/2020,18801.74,19308.33,18347.72,19201.09,37387697139,3.56E+11
03/12/2020,19205.93,19566.19,18925.78,19445.4,31930317405,3.61E+11
04/12/2020,19446.97,19511.4,18697.19,18699.77,33872388058,3.47E+11
05/12/2020,18698.39,19160.45,18590.19,19154.23,27242455064,3.56E+11
06/12/2020,19154.18,19390.5,18897.89,19345.12,25293775714,3.59E+11
07/12/2020,19343.13,19411.83,18931.14,19191.63,26896357742,3.56E+11
08/12/2020,19191.53,19283.48,18269.95,18321.14,31692288756,3.40E+11
09/12/2020,18320.88,18626.29,17935.55,18553.92,34420373071,3.44E+11
10/12/2020,18553.3,18553.3,17957.07,18264.99,25547132265,3.39E+11
11/12/2020,18263.93,18268.45,17619.53,18058.9,27919640985,3.35E+11
12/12/2020,18051.32,18919.55,18046.04,18803.66,21752580802,3.49E+11
13/12/2020,18806.77,19381.54,18734.33,19142.38,25450468637,3.55E+11
14/12/2020,19144.49,19305.1,19012.71,19246.64,22473997681,3.57E+11
15/12/2020,19246.92,19525.01,19079.84,19417.08,26741982541,3.61E+11
16/12/2020,19418.82,21458.91,19298.32,21310.6,44409011479,3.96E+11
17/12/2020,21308.35,23642.66,21234.68,22805.16,71378606374,4.24E+11
18/12/2020,22806.8,23238.6,22399.81,23137.96,40387896275,4.30E+11
19/12/2020,23132.87,24085.86,22826.47,23869.83,38487546580,4.43E+11
20/12/2020,23861.77,24209.66,23147.71,23477.3,37844228422,4.36E+11
21/12/2020,23474.46,24059.98,22159.37,22803.08,45852713981,4.24E+11
22/12/2020,22794.04,23789.9,22430.6,23783.03,44171632681,4.42E+11
23/12/2020,23781.97,24024.49,22802.65,23241.34,51146161904,4.32E+11
24/12/2020,23240.2,23768.34,22777.6,23735.95,41080759713,4.41E+11
25/12/2020,23733.57,24710.1,23463.67,24664.79,42068395846,4.58E+11
26/12/2020,24677.02,26718.07,24522.69,26437.04,48332647295,4.91E+11
27/12/2020,26439.37,28288.84,25922.77,26272.29,66479895605,4.88E+11
28/12/2020,26280.82,27389.11,26207.64,27084.81,49056742893,5.03E+11
29/12/2020,27081.81,27370.72,25987.3,27362.44,45265946774,5.09E+11
